Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Scaled_price
2002-08-30,1408.3709109207084,1434.3316650390623,1395.3905338615314,1434.3316650390625,957300,0.0,0.0,-1.0040031747915823
2002-09-02,1431.0866325132308,1431.0866325132308,1396.6886318224367,1408.3709716796875,177700,0.0,0.0,-1.0087014089888011
2002-09-03,1388.2514996871207,1388.2514996871207,1334.3829281705098,1336.97900390625,848500,0.0,0.0,-1.0216215640769846
2002-09-04,1336.3297769063115,1356.4493607256877,1305.1768729279224,1321.40234375,1093000,0.0,0.0,-1.024440548778644
2002-09-05,1336.9787731265546,1356.4493377837375,1299.335681456001,1304.52783203125,1093200,0.0,0.0,-1.0274944120526683
2002-09-06,1318.8062556749396,1344.767008739407,1311.0180297555994,1340.223876953125,473600,0.0,0.0,-1.0210343234627444
2002-09-09,1341.5221936035157,1362.9398193359375,1329.1908333333333,1362.9398193359375,358600,0.0,0.0,-1.016923307788102
2002-09-10,1375.9197839550113,1427.8412852363324,1375.9197839550113,1424.59619140625,827000,0.0,0.0,-1.0057650512759515
2002-09-11,1411.615992039642,1457.0473113236762,1411.615992039642,1453.1531982421875,464600,0.0,0.0,-1.0005969494756828
2002-09-12,1427.8414745321943,1434.3316630527952,1383.0591737400482,1396.03955078125,187200,0.0,0.0,-1.010933086801228
2002-09-13,1372.025905994887,1401.8807743372543,1369.4298304868548,1386.3043212890625,278400,0.0,0.0,-1.0126949191022692
2002-09-16,1373.323952107935,1440.1728968466482,1373.323952107935,1408.3709716796875,343700,0.0,0.0,-1.0087014089888011
2002-09-17,1440.1728968466482,1444.0670101323985,1408.3709716796875,1408.3709716796875,551900,0.0,0.0,-1.0087014089888011
2002-09-18,1400.5828215422453,1407.722029622396,1377.8671594690393,1401.880859375,466900,0.0,0.0,-1.0098759564922737
2002-09-19,1401.8806530390739,1403.1786906807765,1343.4689591624458,1345.416015625,686300,0.0,0.0,-1.0200946766233008
2002-09-20,1352.5555151572732,1387.6025390625,1349.9594393124416,1387.6025390625,585700,0.0,0.0,-1.012459974254912
2002-09-23,1388.9005222185285,1410.318147093861,1369.4299541500443,1372.675048828125,367700,0.0,0.0,-1.0151614754870608
2002-09-24,1379.1650160303655,1379.1650160303655,1338.2768296727595,1375.919921875,389700,0.0,0.0,-1.0145742348728206
2002-09-25,1362.9396356600466,1389.5494094991238,1362.9396356600466,1388.900390625,241500,0.0,0.0,-1.0122250956825471
2002-09-26,1382.4101896658956,1405.1258500594665,1382.4101896658956,1394.092529296875,448700,0.0,0.0,-1.0112854488431036
2002-09-27,1395.390446431917,1395.390446431917,1353.2042236328125,1353.2042236328125,451500,0.0,0.0,-1.0186852063641352
2002-09-30,1336.3296769246015,1343.4688835521736,1311.0179443359375,1311.0179443359375,612200,0.0,0.0,-1.0263198645491955
2002-10-01,1318.1575927734375,1330.488953808738,1311.6674027548581,1318.1575927734375,361700,0.0,0.0,-1.0250277673012202
2002-10-02,1349.3101307427705,1349.9591495646766,1301.2827379217194,1304.52783203125,405100,0.0,0.0,-1.0274944120526683
2002-10-03,1301.9317567436256,1310.3690014284048,1289.6003991274097,1304.52783203125,691200,0.0,0.0,-1.0274944120526683
2002-10-04,1304.5280956004833,1307.1241714126236,1288.3026217746067,1296.7398681640625,372600,0.0,0.0,-1.0289038381285058
2002-10-07,1287.6537714149745,1287.6537714149745,1259.096933742465,1278.5675048828125,413600,0.0,0.0,-1.0321925799748948
2002-10-08,1298.0377007715451,1298.0377007715451,1249.3612869926121,1253.9044189453125,458900,0.0,0.0,-1.0366559797830768
